Gene seq,Link to JGI page
330,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052330&data_type=assembled&gene_oid=Ga0504726_098289_3_332
363,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052330&data_type=assembled&gene_oid=Ga0504726_015667_367_729
16285,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052330&data_type=assembled&gene_oid=Ga0504726_003248_2_1363
11218,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052330&data_type=assembled&gene_oid=Ga0504726_003724_2_1324
4600,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052330&data_type=assembled&gene_oid=Ga0504726_001447_126_1961
48,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035587&data_type=assembled&gene_oid=Ga0374543_009925_1_1155
67,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035587&data_type=assembled&gene_oid=Ga0374543_013254_50_1087
29,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035587&data_type=assembled&gene_oid=Ga0374543_016667_3_995
230,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035587&data_type=assembled&gene_oid=Ga0374543_003139_37_1800
31,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035587&data_type=assembled&gene_oid=Ga0374543_050917_2_610
26,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035587&data_type=assembled&gene_oid=Ga0374543_055243_2_589
57,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300035587&data_type=assembled&gene_oid=Ga0374543_009911_1_1173
731,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_007931_3_1412
47,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_022159_14_928
32,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_032742_1_783
40,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_044973_1_678
135,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_003591_109_1872
23,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_037544_3_731
252,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_020662_1_957
16,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_056006_3_614
88,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_023893_19_885
919,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_008196_352_1392
73,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_036341_2_748
72,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_022980_3_845
56,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_012928_132_1163
350,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_006435_3_1532
1482,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_007689_3_1430
202,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_003560_44_1894
102,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_017091_28_978
396,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_116740_42_437
24,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300037767&data_type=assembled&gene_oid=Ga0401326_043158_2_667
1580,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052327&data_type=assembled&gene_oid=Ga0504722_006926_1_897
285,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052327&data_type=assembled&gene_oid=Ga0504722_041318_157_441
10466,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=MetaGeneDetail&page=genePageMainFaa&taxon_oid=3300052327&data_type=assembled&gene_oid=Ga0504722_002314_2_1363
